Rk,Team,Date,xG,h_a,Opp,Comp,Round,TieRslt,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
890,es Barcelona,2020-11-24,3.0,@,ua Dynamo Kyiv,Champions League,Group,,W 4-0,4,0,+4,69,3,1,1,0,3.0,2.2,+2.6,+1.8,2.1,1.7,+1.0,+0.8,+0.9,0.15,15,0.20,0.50,6,40.0,18.2,0,Match Report
891,hu Ferencváros,2020-11-24,0.4,@,it Juventus,Champions League,Group,,L 1-2,1,2,-1,34,1,0,0,0,0.4,0.4,-0.6,-0.6,0.2,0.1,+0.6,+0.6,+0.8,0.04,9,0.11,0.50,2,22.2,24.2,0,Match Report
892,it Lazio,2020-11-24,3.3,,ru Zenit,Champions League,Group,,W 3-1,3,1,+2,48,2,1,1,0,3.3,2.5,+2.7,+2.0,2.5,1.1,-0.3,-0.5,-0.5,0.23,11,0.18,0.33,6,54.5,17.3,0,Match Report
893,ru Zenit,2020-11-24,0.6,@,it Lazio,Champions League,Group,,L 1-3,1,3,-2,52,1,0,0,0,0.6,0.6,-2.7,-2.0,0.5,1.0,+0.4,+0.4,+0.5,0.05,13,0.08,0.20,5,38.5,23.1,1,Match Report
894,de RB Leipzig,2020-11-24,1.4,@,fr Paris S-G,Champions League,Group,,L 0-1,0,1,-1,62,0,0,0,0,1.4,1.4,+0.3,+1.1,1.4,1.7,-1.4,-1.4,-1.4,0.09,15,0.00,0.00,3,20.0,17.8,0,Match Report
895,es Sevilla,2020-11-24,1.6,@,ru Krasnodar,Champions League,Group,,W 2-1,2,1,+1,59,2,0,0,0,1.6,1.6,+0.6,+0.6,0.9,1.0,+0.4,+0.4,-0.9,0.07,23,0.09,0.25,8,34.8,18.2,0,Match Report
896,de Dortmund,2020-11-24,1.6,,be Club Brugge,Champions League,Group,,W 3-0,3,0,+3,52,3,0,0,0,1.6,1.6,+1.5,+1.5,1.2,1.2,+1.4,+1.4,-0.2,0.07,21,0.14,0.38,8,38.1,18.4,1,Match Report
897,fr Rennes,2020-11-24,1.1,,eng Chelsea,Champions League,Group,,L 1-2,1,2,-1,51,1,0,0,0,1.1,1.1,-1.2,-1.2,0.9,0.8,-0.1,-0.1,+0.1,0.08,13,0.08,0.20,5,38.5,17.1,1,Match Report
898,tr Başakşehir,2020-11-24,1.3,@,eng Manchester Utd,Champions League,Group,,L 1-4,1,4,-3,48,1,0,0,0,1.3,1.3,-1.6,-0.8,1.1,1.0,-0.3,-0.3,-1.1,0.10,13,0.08,0.25,4,30.8,19.3,2,Match Report
899,ua Dynamo Kyiv,2020-11-24,0.3,,es Barcelona,Champions League,Group,,L 0-4,0,4,-4,31,0,0,0,0,0.3,0.3,-2.6,-1.8,0.3,0.3,-0.3,-0.3,-0.3,0.05,7,0.00,0.00,3,42.9,17.1,0,Match Report
900,eng Chelsea,2020-11-24,2.2,@,fr Rennes,Champions League,Group,,W 2-1,2,1,+1,49,2,0,0,0,2.2,2.2,+1.2,+1.2,2.2,0.9,-0.2,-0.2,-0.2,0.25,9,0.22,0.40,5,55.6,13.8,0,Match Report
901,it Juventus,2020-11-24,1.0,,hu Ferencváros,Champions League,Group,,W 2-1,2,1,+1,66,2,0,0,0,1.0,1.0,+0.6,+0.6,0.9,1.3,+1.0,+1.0,+1.1,0.05,19,0.11,0.29,7,36.8,19.6,1,Match Report
902,fr Paris S-G,2020-11-24,1.1,,de RB Leipzig,Champions League,Group,,W 1-0,1,0,+1,38,0,1,1,0,1.1,0.4,-0.3,-1.1,0.3,0.3,-0.1,-0.4,-0.3,0.05,7,0.00,0.00,2,28.6,21.6,1,Match Report
903,be Club Brugge,2020-11-24,0.1,@,de Dortmund,Champions League,Group,,L 0-3,0,3,-3,48,0,0,0,0,0.1,0.1,-1.5,-1.5,0.1,0.4,-0.1,-0.1,-0.1,0.04,2,0.00,,0,0.0,37.8,0,Match Report
904,ru Krasnodar,2020-11-24,1.1,,es Sevilla,Champions League,Group,,L 1-2,1,2,-1,41,1,0,0,0,1.1,1.1,-0.6,-0.6,0.5,0.9,-0.1,-0.1,+0.5,0.10,11,0.09,0.33,3,27.3,17.2,0,Match Report
905,eng Manchester Utd,2020-11-04,0.7,@,tr Başakşehir,Champions League,Group,,L 1-2,1,2,-1,68,1,0,0,0,0.7,0.7,-0.2,-0.2,0.6,0.9,+0.3,+0.3,+0.4,0.07,10,0.10,0.50,2,20.0,19.3,2,Match Report
906,es Barcelona,2020-11-04,3.5,,ua Dynamo Kyiv,Champions League,Group,,W 2-1,2,1,+1,63,1,1,1,0,3.5,3.2,+0.8,+0.5,2.6,2.2,-1.5,-2.2,-1.6,0.16,21,0.05,0.08,13,61.9,16.4,1,Match Report
907,hu Ferencváros,2020-11-04,1.5,,it Juventus,Champions League,Group,,L 1-4,1,4,-3,46,1,0,0,0,1.5,1.5,-1.2,-1.2,0.7,0.3,-0.5,-0.5,-0.7,0.14,12,0.08,0.33,3,25.0,18.6,0,Match Report
908,it Lazio,2020-11-04,0.7,@,ru Zenit,Champions League,Group,,D 1-1,1,1,0,53,1,0,0,0,0.7,0.7,-0.6,-0.6,0.4,0.7,+0.3,+0.3,+0.6,0.04,15,0.07,0.33,3,20.0,23.9,1,Match Report
909,ru Zenit,2020-11-04,1.2,,it Lazio,Champions League,Group,,D 1-1,1,1,0,47,1,0,0,0,1.2,1.2,+0.6,+0.6,1.1,1.1,-0.2,-0.2,-0.1,0.18,7,0.14,0.50,2,28.6,20.0,0,Match Report
910,de RB Leipzig,2020-11-04,1.9,,fr Paris S-G,Champions League,Group,,W 2-1,2,1,+1,49,1,1,1,0,1.9,1.1,+0.6,+0.5,0.8,0.6,+0.1,-0.1,+0.2,0.12,11,0.09,0.25,4,36.4,19.5,0,Match Report
911,es Sevilla,2020-11-04,2.0,,ru Krasnodar,Champions League,Group,,W 3-2,3,2,+1,63,3,0,0,0,2.0,2.0,+0.6,+1.4,1.0,1.5,+1.0,+1.0,0.0,0.09,22,0.14,0.27,11,50.0,16.1,1,Match Report
912,de Dortmund,2020-11-04,1.8,@,be Club Brugge,Champions League,Group,,W 3-0,3,0,+3,54,3,0,0,0,1.8,1.8,+0.7,+0.7,1.4,1.5,+1.2,+1.2,-0.4,0.21,11,0.27,0.50,6,54.5,15.7,0,Match Report
913,fr Rennes,2020-11-04,0.6,@,eng Chelsea,Champions League,Group,,L 0-3,0,3,-3,43,0,0,0,0,0.6,0.6,-2.6,-1.1,0.6,0.5,-0.6,-0.6,-0.6,0.09,7,0.00,0.00,2,28.6,18.6,0,Match Report
914,tr Başakşehir,2020-11-04,1.0,,eng Manchester Utd,Champions League,Group,,W 2-1,2,1,+1,32,2,0,0,0,1.0,1.0,+0.2,+0.2,0.8,0.5,+1.0,+1.0,+1.2,0.11,9,0.22,0.67,3,33.3,24.0,1,Match Report
915,ua Dynamo Kyiv,2020-11-04,2.7,@,es Barcelona,Champions League,Group,,L 1-2,1,2,-1,37,1,0,0,0,2.7,2.7,-0.8,-0.5,1.9,1.3,-1.7,-1.7,-1.9,0.36,8,0.13,0.14,7,87.5,9.9,0,Match Report
916,eng Chelsea,2020-11-04,3.3,,fr Rennes,Champions League,Group,,W 3-0,3,0,+3,57,1,2,2,0,3.3,1.7,+2.6,+1.1,1.7,1.2,-0.3,-0.7,-0.7,0.28,6,0.17,0.50,2,33.3,18.4,0,Match Report
917,it Juventus,2020-11-04,2.7,@,hu Ferencváros,Champions League,Group,,W 4-1,4,1,+3,54,3,0,0,0,2.7,2.7,+1.2,+1.2,1.5,1.2,+0.3,+0.3,+0.5,0.17,16,0.19,0.38,8,50.0,18.6,1,Match Report
918,fr Paris S-G,2020-11-04,1.3,@,de RB Leipzig,Champions League,Group,,L 1-2,1,2,-1,51,1,0,1,1,1.3,0.6,-0.6,-0.5,0.6,0.6,-0.3,+0.4,+0.4,0.09,7,0.14,1.00,1,14.3,16.9,0,Match Report
919,be Club Brugge,2020-11-04,1.2,,de Dortmund,Champions League,Group,,L 0-3,0,3,-3,46,0,0,0,0,1.2,1.2,-0.7,-0.7,1.1,1.1,-1.2,-1.2,-1.1,0.11,11,0.00,0.00,4,36.4,16.0,1,Match Report
920,ru Krasnodar,2020-11-04,1.4,@,es Sevilla,Champions League,Group,,L 2-3,2,3,-1,37,1,1,1,0,1.4,0.6,-0.6,-1.4,0.5,1.0,+0.6,+0.4,-0.5,0.06,10,0.10,0.50,2,20.0,19.1,2,Match Report
921,de Bayern Munich,2020-11-03,2.9,@,at RB Salzburg,Champions League,Group,,W 6-2,6,2,+4,59,4,1,1,0,2.9,2.2,+1.1,+0.3,1.9,1.3,+2.1,+1.8,+1.1,0.11,20,0.20,0.50,8,40.0,18.3,2,Match Report
922,nl Ajax,2020-11-03,0.7,@,dk Midtjylland,Champions League,Group,,W 2-1,2,1,+1,56,2,0,0,0,0.7,0.7,+0.1,+0.1,0.7,1.1,+1.3,+1.3,+1.3,0.15,5,0.40,0.50,4,80.0,17.2,0,Match Report
923,gr Olympiacos,2020-11-03,0.6,@,eng Manchester City,Champions League,Group,,L 0-3,0,3,-3,42,0,0,0,0,0.6,0.6,-1.1,-1.1,0.2,0.2,-0.6,-0.6,-0.2,0.11,6,0.00,0.00,1,16.7,15.1,0,Match Report
924,de Gladbach,2020-11-03,2.3,@,ua Shakhtar,Champions League,Group,,W 6-0,6,0,+6,47,5,0,0,0,2.3,2.3,+1.9,+1.9,1.7,1.4,+2.7,+2.7,+2.3,0.12,20,0.25,0.50,10,50.0,15.3,1,Match Report
925,dk Midtjylland,2020-11-03,0.7,,nl Ajax,Champions League,Group,,L 1-2,1,2,-1,44,1,0,0,0,0.7,0.7,-0.1,-0.1,0.5,0.6,+0.3,+0.3,+0.5,0.07,9,0.11,0.25,4,44.4,19.5,1,Match Report
926,at RB Salzburg,2020-11-03,1.8,,de Bayern Munich,Champions League,Group,,L 2-6,2,6,-4,41,2,0,0,0,1.8,1.8,-1.1,-0.3,1.4,1.1,+0.2,+0.2,-0.4,0.10,18,0.11,0.20,10,55.6,19.0,1,Match Report
927,es Real Madrid,2020-11-03,1.2,,it Inter,Champions League,Group,,W 3-2,3,2,+1,55,3,0,0,0,1.2,1.2,+0.5,+0.5,0.6,1.3,+1.8,+1.8,+1.4,0.10,12,0.25,0.43,7,58.3,15.1,0,Match Report
928,fr Marseille,2020-11-03,1.0,@,pt Porto,Champions League,Group,,L 0-3,0,3,-3,59,0,0,1,1,1.0,0.2,-1.4,-1.4,0.1,0.3,-1.0,-0.2,-0.1,0.04,6,0.00,,0,0.0,26.0,0,Match Report
929,ru Loko Moscow,2020-11-03,0.9,,es Atlético Madrid,Champions League,Group,,D 1-1,1,1,0,35,0,1,1,0,0.9,0.1,-0.1,-0.9,0.1,0.1,+0.1,-0.1,-0.1,0.05,3,0.00,,0,0.0,21.7,0,Match Report
930,pt Porto,2020-11-03,2.4,,fr Marseille,Champions League,Group,,W 3-0,3,0,+3,41,2,1,1,0,2.4,1.6,+1.4,+1.4,1.4,1.3,+0.6,+0.4,+0.6,0.33,5,0.40,0.67,3,60.0,18.5,0,Match Report
931,eng Liverpool,2020-11-03,2.5,@,it Atalanta,Champions League,Group,,W 5-0,5,0,+5,56,5,0,0,0,2.5,2.5,+1.3,+1.3,2.6,1.1,+2.5,+2.5,+2.4,0.17,15,0.33,0.42,12,80.0,17.9,0,Match Report
932,it Atalanta,2020-11-03,1.2,,eng Liverpool,Champions League,Group,,L 0-5,0,5,-5,44,0,0,0,0,1.2,1.2,-1.3,-1.3,1.1,0.7,-1.2,-1.2,-1.1,0.13,9,0.00,0.00,6,66.7,14.8,0,Match Report
933,eng Manchester City,2020-11-03,1.7,,gr Olympiacos,Champions League,Group,,W 3-0,3,0,+3,58,3,0,0,0,1.7,1.7,+1.1,+1.1,1.7,1.5,+1.3,+1.3,+1.3,0.09,20,0.15,0.43,7,35.0,17.8,0,Match Report
934,it Inter,2020-11-03,0.7,@,es Real Madrid,Champions League,Group,,L 2-3,2,3,-1,45,2,0,0,0,0.7,0.7,-0.5,-0.5,0.6,0.5,+1.3,+1.3,+1.4,0.06,12,0.17,0.67,3,25.0,18.3,1,Match Report
935,es Atlético Madrid,2020-11-03,1.0,@,ru Loko Moscow,Champions League,Group,,D 1-1,1,1,0,65,1,0,0,0,1.0,1.0,+0.1,+0.9,1.0,1.5,0.0,0.0,0.0,0.08,14,0.07,0.17,6,42.9,16.7,0,Match Report
936,ua Shakhtar,2020-11-03,0.4,,de Gladbach,Champions League,Group,,L 0-6,0,6,-6,53,0,0,0,0,0.4,0.4,-1.9,-1.9,0.4,0.2,-0.4,-0.4,-0.4,0.10,4,0.00,0.00,1,25.0,21.7,0,Match Report
937,eng Manchester Utd,2020-10-28,3.2,,de RB Leipzig,Champions League,Group,,W 5-0,5,0,+5,47,4,1,1,0,3.2,2.4,+2.7,+1.9,2.1,1.2,+1.8,+1.6,+0.9,0.17,14,0.29,0.57,7,50.0,18.1,0,Match Report
938,es Barcelona,2020-10-28,2.3,@,it Juventus,Champions League,Group,,W 2-0,2,0,+2,58,1,1,1,0,2.3,1.5,+1.9,+1.1,1.3,1.4,-0.3,-0.5,-0.3,0.13,12,0.08,0.33,3,25.0,18.0,0,Match Report
939,hu Ferencváros,2020-10-28,1.0,,ua Dynamo Kyiv,Champions League,Group,,D 2-2,2,2,0,50,2,0,0,0,1.0,1.0,-0.6,+0.1,1.0,0.4,+1.0,+1.0,+1.0,0.07,15,0.13,0.50,4,26.7,24.0,1,Match Report
940,it Lazio,2020-10-28,0.8,@,be Club Brugge,Champions League,Group,,D 1-1,1,1,0,40,1,0,0,0,0.8,0.8,-1.4,-0.6,0.8,0.8,+0.2,+0.2,+0.2,0.10,8,0.13,0.33,3,37.5,14.9,0,Match Report
941,ru Zenit,2020-10-28,0.2,@,de Dortmund,Champions League,Group,,L 0-2,0,2,-2,31,0,0,0,0,0.2,0.2,-1.5,-0.8,0.2,0.3,-0.2,-0.2,-0.2,0.04,4,0.00,,0,0.0,23.7,0,Match Report
942,de RB Leipzig,2020-10-28,0.5,@,eng Manchester Utd,Champions League,Group,,L 0-5,0,5,-5,53,0,0,0,0,0.5,0.5,-2.7,-1.9,0.3,0.5,-0.5,-0.5,-0.3,0.06,9,0.00,0.00,2,22.2,18.1,0,Match Report
943,es Sevilla,2020-10-28,2.6,,fr Rennes,Champions League,Group,,W 1-0,1,0,+1,66,1,0,0,0,2.6,2.6,+2.5,+2.5,2.6,1.7,-1.6,-1.6,-1.6,0.12,23,0.04,0.11,9,39.1,16.5,0,Match Report
944,de Dortmund,2020-10-28,1.7,,ru Zenit,Champions League,Group,,W 2-0,2,0,+2,69,1,1,1,0,1.7,0.9,+1.5,+0.8,0.9,1.1,+0.3,+0.1,+0.1,0.09,10,0.10,0.25,4,40.0,23.0,1,Match Report
945,fr Rennes,2020-10-28,0.1,@,es Sevilla,Champions League,Group,,L 0-1,0,1,-1,34,0,0,0,0,0.1,0.1,-2.5,-2.5,0.0,0.1,-0.1,-0.1,0.0,0.05,2,0.00,0.00,2,100.0,27.4,1,Match Report
946,tr Başakşehir,2020-10-28,0.9,,fr Paris S-G,Champions League,Group,,L 0-2,0,2,-2,47,0,0,0,0,0.9,0.9,-1.6,-1.6,0.8,1.4,-0.9,-0.9,-0.8,0.06,16,0.00,0.00,4,25.0,20.8,1,Match Report
947,ua Dynamo Kyiv,2020-10-28,1.6,@,hu Ferencváros,Champions League,Group,,D 2-2,2,2,0,50,1,1,1,0,1.6,0.9,+0.6,-0.1,0.4,0.6,+0.4,+0.1,-0.4,0.15,6,0.17,0.50,2,33.3,13.7,0,Match Report
948,eng Chelsea,2020-10-28,2.4,@,ru Krasnodar,Champions League,Group,,W 4-0,4,0,+4,70,3,1,2,1,2.4,0.8,+1.8,+0.2,0.6,0.7,+1.6,+2.2,+2.4,0.06,14,0.21,0.50,6,42.9,16.1,0,Match Report
949,it Juventus,2020-10-28,0.4,,es Barcelona,Champions League,Group,,L 0-2,0,2,-2,42,0,0,0,0,0.4,0.4,-1.9,-1.1,0.3,0.4,-0.4,-0.4,-0.3,0.04,10,0.00,,0,0.0,22.8,1,Match Report
950,fr Paris S-G,2020-10-28,2.4,@,tr Başakşehir,Champions League,Group,,W 2-0,2,0,+2,53,2,0,0,0,2.4,2.4,+1.6,+1.6,2.2,1.5,-0.4,-0.4,-0.2,0.14,18,0.11,0.50,4,22.2,17.4,1,Match Report
951,be Club Brugge,2020-10-28,2.1,,it Lazio,Champions League,Group,,D 1-1,1,1,0,60,0,1,1,0,2.1,1.4,+1.4,+0.6,1.3,1.7,-1.1,-1.4,-1.3,0.14,10,0.00,0.00,2,20.0,13.5,0,Match Report
952,ru Krasnodar,2020-10-28,0.6,,eng Chelsea,Champions League,Group,,L 0-4,0,4,-4,30,0,0,0,0,0.6,0.6,-1.8,-0.2,0.4,0.3,-0.6,-0.6,-0.4,0.05,13,0.00,0.00,4,30.8,19.9,2,Match Report
953,de Bayern Munich,2020-10-27,3.2,@,ru Loko Moscow,Champions League,Group,,W 2-1,2,1,+1,64,2,0,0,0,3.2,3.2,+1.7,+1.7,2.6,2.5,-1.2,-1.2,-0.6,0.17,19,0.11,0.50,4,21.1,16.5,1,Match Report
954,nl Ajax,2020-10-27,1.4,@,it Atalanta,Champions League,Group,,D 2-2,2,2,0,54,1,1,1,0,1.4,0.6,-0.4,-1.1,0.2,0.5,+0.6,+0.4,-0.2,0.05,12,0.08,0.17,6,50.0,21.0,0,Match Report
955,gr Olympiacos,2020-10-27,1.0,@,pt Porto,Champions League,Group,,L 0-2,0,2,-2,57,0,0,0,0,1.0,1.0,-0.4,-0.4,0.7,0.5,-1.0,-1.0,-0.7,0.10,11,0.00,0.00,3,27.3,19.0,0,Match Report
956,de Gladbach,2020-10-27,1.6,,es Real Madrid,Champions League,Group,,D 2-2,2,2,0,35,2,0,0,0,1.6,1.6,-1.0,-1.0,1.0,0.6,+0.4,+0.4,0.0,0.18,9,0.22,0.40,5,55.6,16.9,1,Match Report
957,dk Midtjylland,2020-10-27,1.2,@,eng Liverpool,Champions League,Group,,L 0-2,0,2,-2,38,0,0,0,0,1.2,1.2,-1.0,-0.2,1.2,0.5,-1.2,-1.2,-1.2,0.25,5,0.00,0.00,1,20.0,13.2,0,Match Report
958,at RB Salzburg,2020-10-27,1.1,@,es Atlético Madrid,Champions League,Group,,L 2-3,2,3,-1,50,1,0,0,0,1.1,1.1,-1.4,-1.4,0.9,0.9,-0.1,-0.1,+0.1,0.08,14,0.07,0.33,3,21.4,20.2,1,Match Report
959,es Real Madrid,2020-10-27,2.6,@,de Gladbach,Champions League,Group,,D 2-2,2,2,0,65,2,0,0,0,2.6,2.6,+1.0,+1.0,2.3,2.4,-0.6,-0.6,-0.3,0.12,22,0.09,0.33,6,27.3,15.2,0,Match Report
960,fr Marseille,2020-10-27,0.1,,eng Manchester City,Champions League,Group,,L 0-3,0,3,-3,36,0,0,0,0,0.1,0.1,-1.9,-1.9,0.1,0.1,-0.1,-0.1,-0.1,0.03,2,0.00,0.00,2,100.0,28.9,0,Match Report
961,ru Loko Moscow,2020-10-27,1.5,,de Bayern Munich,Champions League,Group,,L 1-2,1,2,-1,36,1,0,0,0,1.5,1.5,-1.7,-1.7,1.4,0.9,-0.5,-0.5,-0.4,0.10,15,0.07,0.17,6,40.0,17.0,0,Match Report
962,pt Porto,2020-10-27,1.4,,gr Olympiacos,Champions League,Group,,W 2-0,2,0,+2,43,2,0,0,0,1.4,1.4,+0.4,+0.4,1.1,0.9,+0.6,+0.6,-0.1,0.14,10,0.20,0.33,6,60.0,16.3,0,Match Report
963,eng Liverpool,2020-10-27,2.2,,dk Midtjylland,Champions League,Group,,W 2-0,2,0,+2,62,1,1,1,0,2.2,1.4,+1.0,+0.2,1.4,1.5,-0.2,-0.4,-0.4,0.18,8,0.13,1.00,1,12.5,15.5,0,Match Report
964,it Atalanta,2020-10-27,1.7,,nl Ajax,Champions League,Group,,D 2-2,2,2,0,46,2,0,0,0,1.7,1.7,+0.4,+1.1,1.6,1.1,+0.3,+0.3,+0.4,0.13,14,0.14,0.29,7,50.0,17.7,1,Match Report
965,eng Manchester City,2020-10-27,1.9,@,fr Marseille,Champions League,Group,,W 3-0,3,0,+3,64,3,0,0,0,1.9,1.9,+1.9,+1.9,1.9,1.8,+1.1,+1.1,+1.1,0.24,8,0.38,0.75,4,50.0,12.8,0,Match Report
966,it Inter,2020-10-27,1.7,@,ua Shakhtar,Champions League,Group,,D 0-0,0,0,0,59,0,0,0,0,1.7,1.7,+1.6,+1.6,1.3,1.6,-1.7,-1.7,-1.3,0.15,12,0.00,0.00,4,33.3,14.7,1,Match Report
967,es Atlético Madrid,2020-10-27,2.5,,at RB Salzburg,Champions League,Group,,W 3-2,3,2,+1,50,3,0,0,0,2.5,2.5,+1.4,+1.4,2.3,2.1,+0.5,+0.5,-0.3,0.13,19,0.16,0.38,8,42.1,16.6,1,Match Report
968,ua Shakhtar,2020-10-27,0.1,,it Inter,Champions League,Group,,D 0-0,0,0,0,41,0,0,0,0,0.1,0.1,-1.6,-1.6,0.1,0.1,-0.1,-0.1,-0.1,0.03,4,0.00,0.00,1,25.0,27.1,0,Match Report
969,de Bayern Munich,2020-10-21,2.6,,es Atlético Madrid,Champions League,Group,,W 4-0,4,0,+4,58,4,0,0,0,2.6,2.6,+2.2,+2.2,2.4,1.8,+1.4,+1.4,+0.6,0.16,16,0.25,0.80,5,31.3,17.5,0,Match Report
970,nl Ajax,2020-10-21,1.4,,eng Liverpool,Champions League,Group,,L 0-1,0,1,-1,49,0,0,0,0,1.4,1.4,+0.3,+0.3,1.3,1.4,-1.4,-1.4,-1.3,0.12,12,0.00,0.00,4,33.3,21.4,0,Match Report
971,gr Olympiacos,2020-10-21,1.0,,fr Marseille,Champions League,Group,,W 1-0,1,0,+1,51,1,0,0,0,1.0,1.0,+0.1,+0.1,0.9,1.0,0.0,0.0,+0.1,0.10,11,0.09,0.33,3,27.3,15.9,0,Match Report
972,de Gladbach,2020-10-21,1.4,@,it Inter,Champions League,Group,,D 2-2,2,2,0,43,1,1,1,0,1.4,0.7,-1.4,-2.1,0.6,0.8,+0.6,+0.3,+0.4,0.13,5,0.20,1.00,1,20.0,16.5,0,Match Report
973,dk Midtjylland,2020-10-21,0.8,,it Atalanta,Champions League,Group,,L 0-4,0,4,-4,48,0,0,0,0,0.8,0.8,-1.7,-1.7,0.7,0.6,-0.8,-0.8,-0.7,0.09,9,0.00,0.00,3,33.3,21.7,0,Match Report
974,at RB Salzburg,2020-10-21,1.1,,ru Loko Moscow,Champions League,Group,,D 2-2,2,2,0,55,2,0,0,0,1.1,1.1,+0.3,+0.3,0.9,1.1,+0.9,+0.9,+1.1,0.07,15,0.13,0.29,7,46.7,20.0,1,Match Report
975,es Real Madrid,2020-10-21,1.0,,ua Shakhtar,Champions League,Group,,L 2-3,2,3,-1,59,2,0,0,0,1.0,1.0,-0.7,-0.7,0.6,0.9,+1.0,+1.0,+0.4,0.08,12,0.17,0.40,5,41.7,22.1,0,Match Report
976,fr Marseille,2020-10-21,0.9,@,gr Olympiacos,Champions League,Group,,L 0-1,0,1,-1,49,0,0,0,0,0.9,0.9,-0.1,-0.1,0.8,0.4,-0.9,-0.9,-0.8,0.10,10,0.00,0.00,2,20.0,20.7,1,Match Report
977,ru Loko Moscow,2020-10-21,0.8,@,at RB Salzburg,Champions League,Group,,D 2-2,2,2,0,45,2,0,0,0,0.8,0.8,-0.3,-0.3,0.8,0.9,+1.2,+1.2,+1.2,0.16,5,0.40,0.67,3,60.0,9.1,0,Match Report
978,pt Porto,2020-10-21,0.2,@,eng Manchester City,Champions League,Group,,L 1-3,1,3,-2,32,1,0,0,0,0.2,0.2,-1.2,-0.5,0.2,0.3,+0.8,+0.8,+0.8,0.04,6,0.17,0.50,2,33.3,20.4,0,Match Report
979,eng Liverpool,2020-10-21,1.1,@,nl Ajax,Champions League,Group,,W 1-0,1,0,+1,51,0,0,0,0,1.1,1.1,-0.3,-0.3,0.9,1.0,-1.1,-1.1,-0.9,0.07,16,0.00,0.00,6,37.5,16.7,0,Match Report
980,it Atalanta,2020-10-21,2.5,@,dk Midtjylland,Champions League,Group,,W 4-0,4,0,+4,52,4,0,0,0,2.5,2.5,+1.7,+1.7,1.8,0.7,+1.5,+1.5,+2.2,0.14,18,0.22,0.40,10,55.6,18.4,0,Match Report
981,eng Manchester City,2020-10-21,1.5,,pt Porto,Champions League,Group,,W 3-1,3,1,+2,68,2,1,1,0,1.5,0.7,+1.2,+0.5,0.5,0.6,+1.5,+1.3,+0.5,0.09,8,0.25,0.40,5,62.5,18.2,1,Match Report
982,it Inter,2020-10-21,2.8,,de Gladbach,Champions League,Group,,D 2-2,2,2,0,57,2,0,0,0,2.8,2.8,+1.4,+2.1,2.3,1.4,-0.8,-0.8,-1.3,0.21,17,0.12,0.50,4,23.5,12.2,2,Match Report
983,es Atlético Madrid,2020-10-21,0.4,@,de Bayern Munich,Champions League,Group,,L 0-4,0,4,-4,42,0,0,0,0,0.4,0.4,-2.2,-2.2,0.4,0.6,-0.4,-0.4,-0.4,0.07,6,0.00,0.00,1,16.7,17.2,1,Match Report
984,ua Shakhtar,2020-10-21,1.7,@,es Real Madrid,Champions League,Group,,W 3-2,3,2,+1,41,2,0,0,0,1.7,1.7,+0.7,+0.7,1.7,0.9,+0.3,+0.3,+0.3,0.28,6,0.33,0.40,5,83.3,15.8,0,Match Report
985,eng Manchester Utd,2020-10-20,1.4,@,fr Paris S-G,Champions League,Group,,W 2-1,2,1,+1,39,1,1,1,0,1.4,0.6,0.0,-0.8,0.5,0.8,+0.6,+0.4,+0.5,0.05,13,0.08,0.20,5,38.5,21.3,0,Match Report
986,es Barcelona,2020-10-20,2.8,,hu Ferencváros,Champions League,Group,,W 5-1,5,1,+4,61,4,1,1,0,2.8,2.0,+1.6,+1.6,1.7,2.0,+2.2,+2.0,+2.3,0.10,21,0.19,0.40,10,47.6,20.6,4,Match Report
987,hu Ferencváros,2020-10-20,1.3,@,es Barcelona,Champions League,Group,,L 1-5,1,5,-4,39,0,1,1,0,1.3,0.5,-1.6,-1.6,0.3,0.5,-0.3,-0.5,-0.3,0.07,7,0.00,0.00,1,14.3,18.8,0,Match Report
988,it Lazio,2020-10-20,1.7,,de Dortmund,Champions League,Group,,W 3-1,3,1,+2,36,2,0,0,0,1.7,1.7,+0.4,+0.4,1.4,1.1,+0.3,+0.3,+0.6,0.16,11,0.18,0.50,4,36.4,15.7,0,Match Report
989,ru Zenit,2020-10-20,2.2,,be Club Brugge,Champions League,Group,,L 1-2,1,2,-1,52,0,0,0,0,2.2,2.2,+0.1,+0.1,1.9,1.2,-2.2,-2.2,-1.9,0.15,14,0.00,0.00,3,21.4,17.6,0,Match Report
990,de RB Leipzig,2020-10-20,1.0,,tr Başakşehir,Champions League,Group,,W 2-0,2,0,+2,48,2,0,0,0,1.0,1.0,+0.4,+0.4,0.9,0.9,+1.0,+1.0,+1.1,0.08,12,0.17,0.33,6,50.0,15.4,0,Match Report
991,es Sevilla,2020-10-20,0.2,@,eng Chelsea,Champions League,Group,,D 0-0,0,0,0,56,0,0,0,0,0.2,0.2,-0.1,-0.1,0.2,0.4,-0.2,-0.2,-0.2,0.05,5,0.00,0.00,2,40.0,12.7,0,Match Report
992,de Dortmund,2020-10-20,1.3,@,it Lazio,Champions League,Group,,L 1-3,1,3,-2,64,1,0,0,0,1.3,1.3,-0.4,-0.4,1.2,1.4,-0.3,-0.3,-0.2,0.10,14,0.07,0.14,7,50.0,17.5,1,Match Report
