Rk,Team,Date,xG,h_a,Opp,Comp,Round,TieRslt,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
49,nl PSV Eindhoven,2024-02-20,1.6,,de Dortmund,Champions League,Rd of 16 Leg 1,L 1-3,D 1-1,1,1,0,55,0,1,1,0,1.6,0.8,+0.7,-0.1,0.8,0.7,-0.6,-0.8,-0.8,0.06,13,0.00,0.00,3,23.1,23.2,0,Match Report
50,de Dortmund,2024-02-20,0.9,@,nl PSV Eindhoven,Champions League,Rd of 16 Leg 1,W 3-1,D 1-1,1,1,0,45,1,0,0,0,0.9,0.9,-0.7,+0.1,0.4,0.6,+0.1,+0.1,+0.6,0.11,8,0.13,0.20,5,62.5,13.3,0,Match Report
51,es Real Sociedad,2024-02-14,0.7,@,fr Paris S-G,Champions League,Rd of 16 Leg 1,L 1-4,L 0-2,0,2,-2,38,0,0,0,0,0.7,0.7,-0.6,-0.6,0.5,0.5,-0.7,-0.7,-0.5,0.07,9,0.00,,0,0.0,15.7,0,Match Report
52,fr Paris S-G,2024-02-14,1.2,,es Real Sociedad,Champions League,Rd of 16 Leg 1,W 4-1,W 2-0,2,0,+2,62,2,0,0,0,1.2,1.2,+0.6,+0.6,0.7,0.5,+0.8,+0.8,+1.3,0.09,14,0.14,0.33,6,42.9,17.4,0,Match Report
53,de Bayern Munich,2024-02-14,1.1,@,it Lazio,Champions League,Rd of 16 Leg 1,W 3-1,L 0-1,0,1,-1,61,0,0,0,0,1.1,1.1,-0.5,+0.2,0.9,1.7,-1.1,-1.1,-0.9,0.06,17,0.00,,0,0.0,17.6,1,Match Report
54,it Lazio,2024-02-14,1.6,,de Bayern Munich,Champions League,Rd of 16 Leg 1,L 1-3,W 1-0,1,0,+1,39,0,1,1,0,1.6,0.8,+0.5,-0.2,0.8,0.8,-0.6,-0.8,-0.8,0.08,10,0.00,0.00,3,30.0,18.3,0,Match Report
55,es Real Madrid,2024-02-13,1.4,@,de RB Leipzig,Champions League,Rd of 16 Leg 1,W 2-1,W 1-0,1,0,+1,50,1,0,0,0,1.4,1.4,+0.1,+0.1,1.4,1.1,-0.4,-0.4,-0.4,0.10,15,0.07,0.33,3,20.0,16.0,0,Match Report
56,de RB Leipzig,2024-02-13,1.4,,es Real Madrid,Champions League,Rd of 16 Leg 1,L 1-2,L 0-1,0,1,-1,50,0,0,0,0,1.4,1.4,-0.1,-0.1,1.2,1.3,-1.4,-1.4,-1.2,0.10,14,0.00,0.00,9,64.3,17.2,0,Match Report
57,dk FC Copenhagen,2024-02-13,0.3,,eng Manchester City,Champions League,Rd of 16 Leg 1,L 2-6,L 1-3,1,3,-2,21,1,0,0,0,0.3,0.3,-3.1,-3.1,0.1,0.1,+0.7,+0.7,-0.1,0.07,4,0.25,1.00,1,25.0,15.7,0,Match Report
58,eng Manchester City,2024-02-13,3.3,@,dk FC Copenhagen,Champions League,Rd of 16 Leg 1,W 6-2,W 3-1,3,1,+2,79,3,0,0,0,3.3,3.3,+3.1,+3.1,2.0,3.1,-0.3,-0.3,+1.0,0.13,27,0.11,0.25,12,44.4,17.4,4,Match Report
